Submodule,Sub-category,Class,Sub-class,Average power --Active mode (W),Average power --Stand-by mode (W)
scientific,"Electrotechnical equipment ",Power supplies,,100,0
scientific,"Electrotechnical equipment ",Amplifiers,,20,10
scientific,"Electrotechnical equipment ",Signal analysis,,10,10
scientific,"Electrotechnical equipment ",Signal generators,,20,10
scientific,"Electrotechnical equipment ",Oscilloscopes,,30,0
scientific,Miscellaneous lab equipment,Agitator / Incubator,Simple agitators/incubators,80,10
scientific,Miscellaneous lab equipment,Agitator / Incubator,Refrigerated incubators,100,100
scientific,Miscellaneous lab equipment,Agitator / Incubator,30 to 37°C incubators,20,20
scientific,Miscellaneous lab equipment,Agitator / Incubator,"Bench agitators (vortex, rockers, platforms, magnetic agitators, thermomixers…)",30,5
scientific,Miscellaneous lab equipment,Agitator / Incubator,CO2 incubators,60,60
scientific,Miscellaneous lab equipment,Agitator / Incubator,Climate chambers,100,100
scientific,Miscellaneous lab equipment,Agitator / Incubator,"Water-baths, bead-baths, dry-baths",50,50
scientific,Miscellaneous lab equipment,Agitator / Incubator,Agitation heating plates,80,80
scientific,Miscellaneous lab equipment,Centrifugation,Ultra centrifuges,1300,130
scientific,Miscellaneous lab equipment,Centrifugation,High-speed floor-standing centrifuges,2200,110
scientific,Miscellaneous lab equipment,Centrifugation,Large refrigerated bench top centrifuges,610,20
scientific,Miscellaneous lab equipment,Centrifugation,Large bench top centrifuges,180,30
scientific,Miscellaneous lab equipment,Centrifugation,1.5mL refrigerated bench top centrifuges,290,10
scientific,Miscellaneous lab equipment,Centrifugation,1.5mL bench top centrifuges,140,5
scientific,Miscellaneous lab equipment,Centrifugation,Mini centrifuges,60,5
scientific,Miscellaneous lab equipment,Vacuum chamber,,100,100
scientific,Miscellaneous lab equipment,"Chromatographs (HPLC, etc.)",FPLC,50,50
scientific,Miscellaneous lab equipment,"Chromatographs (HPLC, etc.)",HPLC,150,150
scientific,Miscellaneous lab equipment,Cell counter (FACS),,10,10
scientific,Miscellaneous lab equipment,Cryogenics,,10,10
scientific,Miscellaneous lab equipment,Cryostats,,720,500
scientific,Miscellaneous lab equipment,Cytometer,,720,720
scientific,Miscellaneous lab equipment,Evaporator,Vacuum evaporators,200,0
scientific,Miscellaneous lab equipment,Evaporator,Rotary vacuum evaporators,50,0
scientific,Miscellaneous lab equipment,Drying ovens,,220,5
scientific,Miscellaneous lab equipment,Laminar flow hood,Old 180cm laminar flow hoods (>15yo),900,20
scientific,Miscellaneous lab equipment,Laminar flow hood,Old 120cm laminar flow hoods (>15yo),490,10
scientific,Miscellaneous lab equipment,Laminar flow hood,Recent 180cm laminar flow hoods (<15yo),290,10
scientific,Miscellaneous lab equipment,Laminar flow hood,Recent 150cm laminar flow hoods  (<15yo),180,10
scientific,Miscellaneous lab equipment,Lab ovens,,70,70
scientific,Miscellaneous lab equipment,Lyophilisator,Speed vacuum concentrators,710,20
scientific,Miscellaneous lab equipment,Lyophilisator,Lyophilisator (> 1kW),1840,1840
scientific,Miscellaneous lab equipment,Microtomes,,30,30
scientific,Miscellaneous lab equipment,PCR / QPCR,PCR,120,20
scientific,Miscellaneous lab equipment,PCR / QPCR,QPCR,370,110
scientific,Miscellaneous lab equipment,Sequencers,,20,20
scientific,Miscellaneous lab equipment,Deposition and engraving systems,,80,10
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.","Sonicators, homogenizers",100,40
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.","Transfection systems, electroporators, gene pulsers",50,40
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Water purifiers,70,30
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.","Spectrophotometers, fluorimeters, luminometers",20,10
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Plate readers,60,20
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Plate washers,30,10
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.","Imaging systems, geldocs",120,5
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Microwaves,1490,5
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.","Refrigerated baths, chillers",330,330
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Ultrasound baths,160,0
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Bioruptors,50,10
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Emulsiflexes,150,10
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Crushers,80,10
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Euthanasia boxes,10,0
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Stimulators,20,10
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Pipette pullers,50,10
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",UV irradiators,50,0
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Pipetting robots,150,100
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Syringe pumps and injectors,30,0
scientific,Miscellaneous lab equipment,"Other biological, chem. and phys. equip.",Gel dryers,260,5
