equipment_class,sub_class,equipment_id,name,active_usage_hours_per_week,standby_usage_hours_per_week,note,kg_co2eq
Power supplies,,"","","","","",""
Amplifiers,,"","","","","",""
Signal analysis,,"","","","","",""
Signal generators,,"","","","","",""
Oscilloscopes,,"","","","","",""
Agitator / Incubator,Simple agitators/incubators,"","","","","",""
Agitator / Incubator,Refrigerated incubators,"","","","","",""
Agitator / Incubator,30 to 37°C incubators,"","","","","",""
Agitator / Incubator,"Bench agitators (vortex, rockers, platforms, magnetic agitators, thermomixers…)","","","","","",""
Agitator / Incubator,CO2 incubators,"","","","","",""
Agitator / Incubator,Climate chambers,"","","","","",""
Agitator / Incubator,"Water-baths, bead-baths, dry-baths","","","","","",""
Agitator / Incubator,Agitation heating plates,"","","","","",""
Centrifugation,Ultra centrifuges,"","","","","",""
Centrifugation,High-speed floor-standing centrifuges,"","","","","",""
Centrifugation,Large refrigerated bench top centrifuges,"","","","","",""
Centrifugation,Large bench top centrifuges,"","","","","",""
Centrifugation,1.5mL refrigerated bench top centrifuges,"","","","","",""
Centrifugation,1.5mL bench top centrifuges,"","","","","",""
Centrifugation,Mini centrifuges,"","","","","",""
Vacuum chamber,,"","","","","",""
"Chromatographs (HPLC, etc.)",FPLC,"","","","","",""
"Chromatographs (HPLC, etc.)",HPLC,"","","","","",""
Cell counter (FACS),,"","","","","",""
Cryogenics,,"","","","","",""
Cryostats,,"","","","","",""
Cytometer,,"","","","","",""
Evaporator,Vacuum evaporators,"","","","","",""
Evaporator,Rotary vacuum evaporators,"","","","","",""
Drying ovens,,"","","","","",""
Laminar flow hood,Old 180cm laminar flow hoods (>15yo),"","","","","",""
Laminar flow hood,Old 120cm laminar flow hoods (>15yo),"","","","","",""
Laminar flow hood,Recent 180cm laminar flow hoods (<15yo),"","","","","",""
Laminar flow hood,Recent 150cm laminar flow hoods  (<15yo),"","","","","",""
Lab ovens,,"","","","","",""
Lyophilisator,Speed vacuum concentrators,"","","","","",""
Lyophilisator,Lyophilisator (> 1kW),"","","","","",""
Microtomes,,"","","","","",""
PCR / QPCR,PCR,"","","","","",""
PCR / QPCR,QPCR,"","","","","",""
Sequencers,,"","","","","",""
Deposition and engraving systems,,"","","","","",""
"Other biological, chem. and phys. equip.","Sonicators, homogenizers","","","","","",""
"Other biological, chem. and phys. equip.","Transfection systems, electroporators, gene pulsers","","","","","",""
"Other biological, chem. and phys. equip.",Water purifiers,"","","","","",""
"Other biological, chem. and phys. equip.","Spectrophotometers, fluorimeters, luminometers","","","","","",""
"Other biological, chem. and phys. equip.",Plate readers,"","","","","",""
"Other biological, chem. and phys. equip.",Plate washers,"","","","","",""
"Other biological, chem. and phys. equip.","Imaging systems, geldocs","","","","","",""
"Other biological, chem. and phys. equip.",Microwaves,"","","","","",""
"Other biological, chem. and phys. equip.","Refrigerated baths, chillers","","","","","",""
"Other biological, chem. and phys. equip.",Ultrasound baths,"","","","","",""
"Other biological, chem. and phys. equip.",Bioruptors,"","","","","",""
"Other biological, chem. and phys. equip.",Emulsiflexes,"","","","","",""
"Other biological, chem. and phys. equip.",Crushers,"","","","","",""
"Other biological, chem. and phys. equip.",Euthanasia boxes,"","","","","",""
"Other biological, chem. and phys. equip.",Stimulators,"","","","","",""
"Other biological, chem. and phys. equip.",Pipette pullers,"","","","","",""
"Other biological, chem. and phys. equip.",UV irradiators,"","","","","",""
"Other biological, chem. and phys. equip.",Pipetting robots,"","","","","",""
"Other biological, chem. and phys. equip.",Syringe pumps and injectors,"","","","","",""
"Other biological, chem. and phys. equip.",Gel dryers,"","","","","",""
"Other biological, chem. and phys. equip.",O2 concentrator generators,"","","","","",""
"Other biological, chem. and phys. equip.",Other devices,"","","","","",""
Milling machine,,"","","","","",""
Chemical reactors,,"","","","","",""
Other stewardship equipment,,"","","","","",""
Other measuring equipment,,"","","","","",""
Pneumatic tables,,"","","","","",""
Potentiostat,,"","","","","",""
Probes,,"","","","","",""
Laser-scanning microscope,,"","","","","",""
AFM microscopes,,"","","","","",""
Optical microscopes,Average confocal microscopes,"","","","","",""
