provider,usage_type,requests_per_user_per_day,fte_count,note
Gemini (Google),text,1_5,0.8,
Mistral AI,text,5_20,3,
Claude (Anthropic),text,20_100,5,
ChatGPT (OpenAI),text,gt_100,0.8,
Copilot (Microsoft),text,,,
Other,text,,,
Gemini (Google),image,,,
Mistral AI,image,,,
Claude (Anthropic),image,,,
ChatGPT (OpenAI),image,,,
Copilot (Microsoft),image,,,
Other,image,,,
Gemini (Google),code,,,
Mistral AI,code,,,
Claude (Anthropic),code,,,
ChatGPT (OpenAI),code,,,
Copilot (Microsoft),code,,,
Copilot (GitHub),code,,,
Other,code,,,
