name,supplier,quantity,total_spent_amount,currency,purchase_institutional_code,purchase_additional_code,purchase_institutional_description,note
# Instructions:,,,,,,,,
# 1) Enter a descriptive name for the purchase (e.g. NN-Diisopropylethylamine).,,,,,,,,
# 2) Optionally enter the supplier name.,,,,,,,,
# 3) Optionally enter the quantity purchased.,,,,,,,,
# 4) Enter the total amount spent on this purchase.,,,,,,,,
# 5) Specify the currency (CHF EUR USD etc.). If not specified CHF is used by default.,,,,,,,,
# 6) Enter the institutional purchase code (e.g. UNSPSC code) that identifies the product category.,,,,,,,,
# 7) Optionally add the institutional description of the purchase.,,,,,,,,
# 8) Optionally add the NACRES code in the additional code column for more detailed categorization.,,,,,,,,
# 9) For detailed guidance consult the documentation section: Modules specification - Purchases,,,,,,,,
# 10) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,,,,,
"N,N-Diisopropylethylamine",Sigma-Aldrich Chemie GmbH,1.0,35.4,chf,12352100,NA22,,
"Poly-?-lysine solution 0.01%, sterile-fi",Sigma-Aldrich Chemie GmbH,1.0,146.9,chf,12352200,NB13,,
DYNAMIS MEDIUM 1000ML,Life Technologies Europe BV,12.0,976.53,chf,B,NB43,,
Name:3_Val_GTC_fragment_R    Sequence:CT,LuBioScience GmbH,1.0,51.8,chf,41105600,NA26,,
