name,supplier,quantity,total_spent_amount,currency,purchase_institutional_code,purchase_additional_code,purchase_institutional_description,note
# Instructions:,,,,,,,,
# 1) Enter a descriptive name for the consumable item (e.g. 'Laboratory pipettes' 'Office paper').,,,,,,,,
# 2) Optionally enter the supplier name.,,,,,,,,
# 3) Optionally enter the quantity purchased.,,,,,,,,
# 4) Enter the total amount spent on this purchase.,,,,,,,,
# 5) Specify the currency (CHF EUR USD etc.). If not specified CHF is used by default.,,,,,,,,
# 6) Enter the institutional purchase code (e.g. UNSPSC code) that identifies the product category.,,,,,,,,
# 7) Optionally add the institutional description of the purchase.,,,,,,,,
# 8) Optionally add the NACRES code in the additional code column for more detailed categorization.,,,,,,,,
# 9) For detailed guidance consult the documentation section: Modules specification - Purchases,,,,,,,,
# 10) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,,,,,
"Trust Bluetooth Tastatur (USA, Wireless)",Digitec Galaxus AG,3.0,54.9,chf,32130000,IA24,,
"Kit d'aide au soudage, 3 piÃ¨ces",Distrelec Schweiz AG,1.0,8.46,chf,32130000,RA16,,
Raccord enfichable FESTO   QSM filetage,BrÃ¼tsch-RÃ¼egger Outils AG,10.0,19.95,chf,27112800,BD03,,
"Stylo-bille BiC Cristal Original, largeu",Lyreco Switzerland AG,50.0,17.3,chf,44110000,AB01,,
