name,supplier,quantity,total_spent_amount,currency,purchase_institutional_code,purchase_additional_code,purchase_institutional_description,note
# Instructions:,,,,,,,,
# 1) Enter a descriptive name for the IT equipment (e.g. 'Laptop Dell XPS 15' 'Monitor LG 27-inch').,,,,,,,,
# 2) Optionally enter the supplier name.,,,,,,,,
# 3) Optionally enter the quantity purchased.,,,,,,,,
# 4) Enter the total amount spent on this purchase.,,,,,,,,
# 5) Specify the currency (CHF EUR USD etc.). If not specified CHF is used by default.,,,,,,,,
# 6) Enter the institutional purchase code (e.g. UNSPSC code) that identifies the product category.,,,,,,,,
# 7) Optionally add the institutional description of the purchase.,,,,,,,,
# 8) Optionally add the NACRES code in the additional code column for more detailed categorization.,,,,,,,,
# 9) For detailed guidance consult the documentation section: Modules specification - Purchases,,,,,,,,
# 10) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,,,,,
"Base;Écran incurvé Dell UltraSharp 49, U",Dell SA,4.0,3567.3,chf,43211500,AB03,,
"Digitec USB-C - USB-C (0.25 m, USB 3.2 G",Digitec Galaxus AG,1.0,10.71,chf,43211600,IA23,,
"Delock DVI — HDMI (Typ A) (2 m, DVI, HDM",Digitec Galaxus AG,5.0,33.95,chf,43211600,IA24,,
MBP 14 Silver/M5 10-core CPU + 10-core G,Art Computer SA,1.0,1471.82,chf,43211500,IA11,,
