name,supplier,quantity,total_spent_amount,currency,purchase_institutional_code,purchase_additional_code,purchase_institutional_description,note
# Instructions:,,,,,,,,
# 1) Enter a descriptive name for the other purchased item (e.g. 'Furniture - office desk' 'Audio equipment').,,,,,,,,
# 2) Optionally enter the supplier name.,,,,,,,,
# 3) Optionally enter the quantity purchased.,,,,,,,,
# 4) Enter the total amount spent on this purchase.,,,,,,,,
# 5) Specify the currency (CHF EUR USD etc.). If not specified CHF is used by default.,,,,,,,,
# 6) Enter the institutional purchase code (e.g. UNSPSC code) that identifies the product category.,,,,,,,,
# 7) Optionally add the institutional description of the purchase.,,,,,,,,
# 8) Optionally add the NACRES code in the additional code column for more detailed categorization.,,,,,,,,
# 9) For detailed guidance consult the documentation section: Modules specification - Purchases,,,,,,,,
# 10) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,,,,,
Multilayer Ceramic Capacitors MLCC - SMD,Mouser Electronics Inc,4.0,2.02,chf,31162800,TA01,,
Convertisseur LED,R̩gent Suisse SA,1.0,64.85,chf,72102200,TB11,,
IT 0298,Schulz-Electronic GmbH,2.0,1220.0,chf,F,XF09,,
Faber-Castell Stylo d'artiste Pitt (Noir,Digitec Galaxus AG,1.0,32.4,chf,44121600,AC02,,
