name,supplier,quantity,total_spent_amount,currency,purchase_institutional_code,purchase_additional_code,purchase_institutional_description,note
# Instructions:,,,,,,,,
# 1) Enter a descriptive name for the scientific equipment (e.g. 'Centrifuge model X' 'Spectrometer unit').,,,,,,,,
# 2) Optionally enter the supplier name.,,,,,,,,
# 3) Optionally enter the quantity purchased.,,,,,,,,
# 4) Enter the total amount spent on this purchase.,,,,,,,,
# 5) Specify the currency (CHF EUR USD etc.). If not specified CHF is used by default.,,,,,,,,
# 6) Enter the institutional purchase code (e.g. UNSPSC code) that identifies the product category.,,,,,,,,
# 7) Optionally add the institutional description of the purchase.,,,,,,,,
# 8) Optionally add the NACRES code in the additional code column for more detailed categorization.,,,,,,,,
# 9) For detailed guidance consult the documentation section: Modules specification - Purchases,,,,,,,,
# 10) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,,,,,
PIPETTE EPPENDORF Xplorer 8 CANAUX 50-12,Milian SA,1.0,997.76,chf,D,NB01,,
machine optique,Gloor Instruments AG,1.0,10012.75,chf,D,OC03,,
Agilent Cert Pre-owned 1290 Inf. II HS P,Agilent Technologies Schweiz AG,1.0,4160.77,chf,D,SB51,,
parution 3 coffrets de mesure TPG262 sel,Delacharlonny Gabriel / DELRIS - Va,1.0,2730.89,chf,D,PB35,,
