name,supplier,quantity,total_spent_amount,currency,purchase_institutional_code,purchase_additional_code,purchase_institutional_description,note
# Instructions:,,,,,,,,
# 1) Enter a descriptive name for the service purchased (e.g. 'Software subscription' 'Maintenance contract').,,,,,,,,
# 2) Optionally enter the supplier name.,,,,,,,,
# 3) Optionally enter the quantity purchased.,,,,,,,,
# 4) Enter the total amount spent on this purchase.,,,,,,,,
# 5) Specify the currency (CHF EUR USD etc.). If not specified CHF is used by default.,,,,,,,,
# 6) Enter the institutional purchase code (e.g. UNSPSC code) that identifies the product category.,,,,,,,,
# 7) Optionally add the institutional description of the purchase.,,,,,,,,
# 8) Optionally add the NACRES code in the additional code column for more detailed categorization.,,,,,,,,
# 9) For detailed guidance consult the documentation section: Modules specification - Purchases,,,,,,,,
# 10) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,,,,,
Remise en ordre et en état partiellement,Fatem SA,1.0,25075.95,chf,72100000,TC01,,
Frais de port,Ambu-Tech AG,1.0,12.5,chf,78102200,XD61,,
Dépannage Laveur Miele UDP réf:  1010614,Miele AG,1.0,910.22,chf,73152100,AA72,,
Etude mise à l'enquête Demona CVC,foxym,1.0,702.65,chf,I,BD24,,
