name,supplier,quantity,total_spent_amount,currency,purchase_institutional_code,purchase_additional_code,purchase_institutional_description,note
# Instructions:,,,,,,,,
# 1) Enter a descriptive name for the vehicle (e.g. 'Electric Vehicle - Tesla Model 3' 'Minibus - Iveco Daily').,,,,,,,,
# 2) Optionally enter the supplier name.,,,,,,,,
# 3) Optionally enter the quantity purchased.,,,,,,,,
# 4) Enter the total amount spent on this purchase.,,,,,,,,
# 5) Specify the currency (CHF EUR USD etc.). If not specified CHF is used by default.,,,,,,,,
# 6) Enter the institutional purchase code (e.g. UNSPSC code) that identifies the product category.,,,,,,,,
# 7) Optionally add the institutional description of the purchase.,,,,,,,,
# 8) Optionally add the NACRES code in the additional code column for more detailed categorization.,,,,,,,,
# 9) For detailed guidance consult the documentation section: Modules specification - Purchases,,,,,,,,
# 10) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,,,,,
VÃ©hicule piquet MCR,Emil Frey AG,1.0,31155.95,chf,25100000,BF14,,
"Remorque Ã  bateau, longueur maximum du b",MÃ©canique Navale de A Ã  Z SÃ rl,1.0,6105.45,chf,25101900,AD15,,
"Pose des roues Ã©tÃ©, selon devis du 28/04",LARAG SA Echandens,1.0,371.95,chf,25100000,AD01,,
KS Tools Werkzeuge-Maschinen GmbH Suctio,Digitec Galaxus AG,1.0,4.27,chf,25150000,RA16,,
