researchfacility_id,researchfacility_name,researchfacility_type,use,use_unit,note,kg_co2eq
#Instructions:
#1) Enter the ID of the research facility (e.g., cost center of the facility).
#2) Enter the name of the research facility
#3) Specify the type of animals housed (e.g., rodent, fish)
#4) Enter the usage amount (e.g., number of housings or time units).
#5) Specify the unit of usage (e.g., 'housings')
#6) If you know the CO2 equivalent, enter it in kg_co2eq. Otherwise, leave empty for automatic calculation.
#7) For detailed guidance, consult: Modules specification - EPFL research facilities
#Important: every line starting with # is an instruction. The importer ignores them, so you can leave them in the file.
1321,CPG,rodent,1500,housings,,
1321,CPG,fish,500,housings,,
