researchfacility_id,researchfacility_name,use,use_unit,note
# 1) Choose the ID and name of the research facilities (cost center) used by your unit from the list below.,,,,
# 2) Enter the usage amount (in CHF hours or % depending on the facility). The right metric is already associated to each of the facilities.,,,,
# 3) For detailed guidance consult the documentation section: Modules specification - EPFL research facilities,,,,
# 4) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,
1902,SCITAS-GE,0,CHF,
2028,SPC-GE,0,CHF,
1330,PTEG,0,CHF,
0620,ISIC-CHSP,0,CHF,
1916,SDSC-GE,0,CHF,
0188,ENAC-PLTE,0,CHF,
2043,CIBM-GE,0,CHF,
0329,PTMH-GE,0,CHF,
1202,RCP-GE,0,CHF,
2040,CIME-GE,0,CHF,
0204,GR-CEL,0,CHF,
1324,PTBIOP,0,CHF,
1388,PTCB,0,CHF,
1800,DCI-GE,0,CHF,
0190,PL-MTI,0,CHF,
1081,EPIX-GE,0,CHF,
1327,PTPSP,0,CHF,
2023,SPC-TCV,0,CHF,
1901,AVP-E-CEDE,0,CHF,
0784,IPHYS-CRP,0,CHF,
2025,SPC-SG,0,CHF,
1326,PTP,0,CHF,
0134,PL-LCH,0,CHF,
1325,PTH,0,CHF,
2024,SPC-II,0,CHF,
1342,PTBET,0,CHF,
1814,MEDIA-GE,0,CHF,
1322,PTCF,0,CHF,
0313,ATME,0,CHF,
2022,SPC-LTP2A,0,CHF,
0807,ATMX,0,CHF,
1331,PTBTG,0,CHF,
0129,GIS-GE,0,CHF,
1886,AVP-E-LEARN,0,CHF,
1017,ATPR,0,CHF,
1881,LACUS-GE,0,CHF,
0109,PL-PIXE,0,CHF,
1915,SCALA-GE,0,CHF,
1027,IMAGING-GE,0,CHF,
0317,SFA-AM,0,CHF,
0783,IPHYS-CGCP,0,CHF,
2021,SPC-TH,0,CHF,
0785,IPHYS-MEC,0,CHF,
0865,MHMC-GE,0,CHF,
1025,E4S,0,CHF,
1865,LIMNC-GE,0,CHF,
2044,CIBM-MRI,0,CHF,
1328,PTBIOEM,0,CHF,
0323,AFA,0,CHF,
1823,CEN-GE,0,CHF,
2533,BUILD,0,CHF,
0836,PRNMARVEL-GE,0,CHF,
2027,SPC-PP,0,CHF,
1080,AICENTER-GE,0,CHF,
0387,ACI,0,CHF,
1291,C4DT-GE,0,CHF,
1810,ECAL-LAB-GE,0,CHF,
0189,SKIL,0,CHF,
0574,CECAM-GE,0,CHF,
0587,IPHYS-ELEC,0,CHF,
0769,CIB-GE,0,CHF,
0291,HRC-GE,0,CHF,
0903,ENAC-AM,0,CHF,
1079,CWSC-GE,0,CHF,
0614,SWISSCAT,0,CHF,
1004,ESSTECH-GE,0,CHF,
1869,ESC-GE,0,CHF,
0904,ARCHIZOOM,0,CHF,
1008,EXAF-GE,0,CHF,
2532,CSLL-GE,0,CHF,
0616,ISIC-ITDMP,0,CHF,
1029,QSE-GE,0,CHF,
1085,SNAI-GE,0,CHF,
1355,UPM-GE,0,CHF,
1808,ECOCLOUD-GE,0,CHF,
1320,PTEC-GE,0,CHF,
0624,SB-CECAM,0,CHF,
1806,CHC-GE,0,CHF,
1012,CLIMACT-GE,0,CHF,
1002,CTS-GE,0,CHF,
0619,ISIC-NMRP,0,hours,
0617,ISIC-XRDSAP,0,hours,
0615,ISIC-EMEWP,0,hours,
0618,ISIC-MSEAP,0,hours,
1003,CMI-GE,0,hours,
0872,CAM-GE,0,%,
