origin_iata,destination_iata,user_institutional_id,departure_date,number_of_trips,cabin_class,note
#Instructions:
#1) Enter the 3-letter IATA code for the origin airport (e.g., 'GVA' for Geneva, 'CDG' for Paris).
#2) Enter the 3-letter IATA code for the destination airport (e.g., 'NYC' for New York, 'LHR' for London).
#3) Enter the user's institutional ID (SCIPER) if known. This field is optional for external travelers.
#4) Enter the departure date in ISO format (YYYY-MM-DD). If unknown, leave blank.
#5) Specify the number of trips taken on this route.
#6) Specify the cabin class: business, or economy.
#7) For detailed guidance and location reference, consult the documentation section: Modules specification - Professional travel
#Important: every line starting with # is an instruction. The importer ignores them, so you can leave them in the file.
GVA,CDG,234567,2025-12-01,1,economy,
ZRH,LHR,234568,2025-11-15,2,business,
GVA,JFK,234569,2025-10-20,1,economy,
ZRH,NRT,234570,2025-09-10,1,business,
