category,subcategory,quantity_kg,note,kg_co2eq
# Instructions:,,,,
# 1) Among the whole list choose the categories and subcategories relevant for your unit. ,,,,
# 2) For each of them specify the quantity emitted in kg in the column quantity_kg by replacing the default value 0. ,,,,
# 3) If known you can specify directly the amount of carbon emissions in kg for a certain category/subcategory by filling the column kg_co2eq. Otherwise if this column is left empty the calculator will do the calculation for you.,,,,
# 4) Important: every line starting with # is an instruction. The importer ignores them so you can leave them in the file.,,,,
Carbon dioxide (CO2),,0,,
Methane (CH4),,0,,
Nitrous oxide (N2O),,0,,
Sulfur hexafluoride (SF6),,0,,
Nitrogen trifluoride (NF3),,0,,
Hydrofluorocarbons (HFCs),HFC-23 (CHF3),0,,
Hydrofluorocarbons (HFCs),HFC-32 (CH2F2),0,,
Hydrofluorocarbons (HFCs),HFC-41 (CH3F2),0,,
Hydrofluorocarbons (HFCs),HFC-125 (CHF2CF3),0,,
Hydrofluorocarbons (HFCs),HFC-134 (CHF2CHF2),0,,
Hydrofluorocarbons (HFCs),HFC-134a (CH2FCF3),0,,
Hydrofluorocarbons (HFCs),HFC-143 (CH2FCHF2),0,,
Hydrofluorocarbons (HFCs),HFC-143a (CH3CF3),0,,
Hydrofluorocarbons (HFCs),HFC-152 (CH2FCH2F),0,,
Hydrofluorocarbons (HFCs),HFC-152a (CH3CHF2),0,,
Hydrofluorocarbons (HFCs),HFC-161 (CH3CH2F),0,,
Hydrofluorocarbons (HFCs),HFC-227ea (CF3CHFCF3),0,,
Hydrofluorocarbons (HFCs),HFC-236cb (CH2FCF2CF3),0,,
Hydrofluorocarbons (HFCs),HFC-236ea (CHF2CHFCF3),0,,
Hydrofluorocarbons (HFCs),HFC-236fa (CF3CH2CF3),0,,
Hydrofluorocarbons (HFCs),HFC-245ca (CH2FCF2CHF2),0,,
Hydrofluorocarbons (HFCs),HFC-245fa (CHF2CH2CF3),0,,
Hydrofluorocarbons (HFCs),HFC-365mfc (CH3CF2CH2CF3),0,,
Hydrofluorocarbons (HFCs),HFC-43-10mee (CF3CHFCHFCF2CF3),0,,
Perfluorinated compounds,PFC-14 (CF4),0,,
Perfluorinated compounds,PFC-116 (C2F6),0,,
Perfluorinated compounds,PFC-218 (C3F8),0,,
Perfluorinated compounds,PFC-318 (c-C4F8),0,,
Perfluorinated compounds,PFC-31-10 (C4F10),0,,
Perfluorinated compounds,PFC-41-12 (C5F12),0,,
Perfluorinated compounds,PFC-51-14 (C6F14),0,,
Perfluorinated compounds,PCF-91-18 (C10F18),0,,
Perfluorinated compounds,Trifluoromethyl sulfur pentafluoride (SF5CF3),0,,
Perfluorinated compounds,Perfluorocyclopropane (c-C3F6),0,,
Fluorinated ethers,HFE-125 (CHF2OCF3),0,,
Fluorinated ethers,HFE-134 (CHF2OCHF2),0,,
Fluorinated ethers,HFE-143a (CH3OCF3),0,,
Fluorinated ethers,HCFE-235da2 (CHF2OCHClCF3),0,,
Fluorinated ethers,HFE-245cb2 (CH3OCF2CF3),0,,
Fluorinated ethers,HFE-245fa2 (CHF2OCH2CF3),0,,
Fluorinated ethers,HFE-347mcc3 (CH3OCF2CF2CF3),0,,
Fluorinated ethers,HFE-347pcf2 (CHF2CF2OCH2CF3),0,,
Fluorinated ethers,HFE-356pcc3 (CH3OCF2CF2CHF2),0,,
Fluorinated ethers,HFE-449sl (HFE-7100) (C4F9OCH3),0,,
Fluorinated ethers,HFE-569sf2 (HFE-7200) (C4F9OC2H5),0,,
Fluorinated ethers,HFE-43-10pccc124 (H-Galden 1040x) (CHF2OCF2OC2F4OCHF2),0,,
Fluorinated ethers,HFE-236ca12 (HG-10) (CHF2OCF2OCHF2),0,,
Fluorinated ethers,HFE-338pcc13 (HG-01) (CHF2OCF2CF2OCHF2),0,,
Fluorinated ethers,HFE-227ea (CF3CHFOCF3),0,,
Fluorinated ethers,HFE-236ea2 (CHF2OCHFCF3),0,,
Fluorinated ethers,HFE-236fa (CF3CH2OCF3),0,,
Fluorinated ethers,HFE-245fa1 (CHF2CH2OCF3),0,,
Fluorinated ethers,HFE 263fb2 (CF3CH2OCH3),0,,
Fluorinated ethers,HFE-329mcc2 (CHF2CF2OCF2CF3),0,,
Fluorinated ethers,HFE-338mcf2 (CF3CH2OCF2CF3),0,,
Fluorinated ethers,HFE-347mcf2 (CHF2CH2OCF2CF3),0,,
Fluorinated ethers,HFE-356mec3 (CH3OCF2CHFCF3),0,,
Fluorinated ethers,HFE-356pcf2 (CHF2CH2OCF2CHF2),0,,
Fluorinated ethers,HFE-356pcf3 (CHF2OCH2CF2CHF2),0,,
Fluorinated ethers,HFE 365mcf3 (CF3CF2CH2OCH3),0,,
Fluorinated ethers,HFE-374pc2 (CHF2CF2OCH2CH3),0,,
Perfluoropolyethers,PFPMIE (CF3OCF(CF3)CF2OCF2OCF3),0,,
